City,month,maxtempC,mintempC,tempC,humidity,precipMM,windspeedKmph
Bengaluru,2009-01,28.193548387096776,14.64516129032258,20.821236559139784,62.73790322580645,2.7,9.990591397849462
Bengaluru,2009-02,32.214285714285715,15.928571428571429,23.879464285714285,45.72172619047619,0.0,9.748511904761905
Bengaluru,2009-03,32.354838709677416,18.93548387096774,25.294354838709676,47.020161290322584,22.9,7.756720430107527
Bengaluru,2009-04,35.56666666666667,21.433333333333334,28.084722222222222,46.4125,12.8,7.2875
Bengaluru,2009-05,33.096774193548384,22.129032258064516,26.780913978494624,60.67204301075269,53.1,9.38978494623656
Bengaluru,2009-06,28.666666666666668,20.166666666666668,23.693055555555556,76.14444444444445,99.5,13.76388888888889
Bengaluru,2009-07,27.483870967741936,21.032258064516128,23.599462365591396,72.14381720430107,23.5,19.131720430107528
Bengaluru,2009-08,28.258064516129032,19.838709677419356,23.262096774193548,77.74731182795699,87.9,12.13978494623656
Bengaluru,2009-09,26.4,19.8,22.519444444444446,85.97083333333333,145.0,10.52361111111111
Bengaluru,2009-10,26.677419354838708,18.70967741935484,22.0,80.86424731182795,75.5,9.42741935483871
Bengaluru,2009-11,25.166666666666668,18.2,21.1875,89.85972222222222,116.4,8.631944444444445
Bengaluru,2009-12,24.06451612903226,16.838709677419356,19.864247311827956,88.30376344086021,67.7,8.84274193548387
Bengaluru,2010-01,26.032258064516128,15.741935483870968,20.403225806451612,75.98790322580645,27.1,8.797043010752688
Bengaluru,2010-02,31.357142857142858,16.964285714285715,23.65922619047619,53.49404761904762,1.4000000000000001,9.989583333333334
Bengaluru,2010-03,35.0,19.161290322580644,26.864247311827956,41.24596774193548,3.5,9.432795698924732
Bengaluru,2010-04,36.9,22.433333333333334,28.941666666666666,47.3125,24.4,7.636111111111111
Bengaluru,2010-05,34.83870967741935,22.70967741935484,27.79032258064516,57.155913978494624,29.8,9.301075268817204
Bengaluru,2010-06,29.3,20.4,24.113888888888887,75.11666666666666,116.4,12.543055555555556
Bengaluru,2010-07,25.806451612903224,19.967741935483872,22.38037634408602,83.4986559139785,81.7,12.311827956989248
Bengaluru,2010-08,27.93548387096774,19.612903225806452,23.079301075268816,82.91397849462365,106.9,11.720430107526882
Bengaluru,2010-09,28.4,18.966666666666665,22.997222222222224,83.20972222222223,116.4,9.465277777777779
Bengaluru,2010-10,27.06451612903226,19.06451612903226,22.25537634408602,88.9260752688172,177.1,7.524193548387097
Bengaluru,2010-11,25.933333333333334,18.066666666666666,21.280555555555555,88.03055555555555,97.3,7.915277777777778
Bengaluru,2010-12,25.64516129032258,15.870967741935484,19.858870967741936,79.92338709677419,17.900000000000002,8.658602150537634
Bengaluru,2011-01,28.741935483870968,14.516129032258064,20.63037634408602,61.248655913978496,1.3,10.176075268817204
Bengaluru,2011-02,30.75,14.928571428571429,22.205357142857142,52.80357142857143,9.3,9.745535714285714
Bengaluru,2011-03,34.67741935483871,17.677419354838708,25.888440860215052,41.38172043010753,1.9000000000000001,8.774193548387096
Bengaluru,2011-04,34.733333333333334,20.466666666666665,26.88888888888889,54.19027777777778,46.6,6.615277777777778
Bengaluru,2011-05,33.67741935483871,21.870967741935484,27.399193548387096,59.475806451612904,80.2,8.428763440860216
Bengaluru,2011-06,29.266666666666666,20.0,24.316666666666666,70.5375,39.5,18.2625
Bengaluru,2011-07,28.580645161290324,19.903225806451612,23.719086021505376,72.7513440860215,59.3,18.170698924731184
Bengaluru,2011-08,27.870967741935484,19.838709677419356,23.14516129032258,78.47177419354838,98.2,15.674731182795698
Bengaluru,2011-09,28.433333333333334,18.966666666666665,23.059722222222224,77.20694444444445,32.1,13.569444444444445
Bengaluru,2011-10,28.096774193548388,18.774193548387096,22.815860215053764,80.46774193548387,94.1,7.711021505376344
Bengaluru,2011-11,26.533333333333335,16.333333333333332,20.644444444444446,78.38055555555556,28.5,11.52361111111111
Bengaluru,2011-12,26.322580645161292,15.064516129032258,19.891129032258064,69.22177419354838,5.6000000000000005,11.841397849462366
Bengaluru,2012-01,27.70967741935484,15.225806451612904,20.668010752688172,61.99193548387097,0.1,10.557795698924732
Bengaluru,2012-02,31.103448275862068,16.620689655172413,23.367816091954023,46.866379310344826,0.0,12.561781609195402
Bengaluru,2012-03,33.70967741935484,19.838709677419356,26.647849462365592,39.446236559139784,5.7,10.420698924731182
Bengaluru,2012-04,34.333333333333336,22.733333333333334,28.344444444444445,46.227777777777774,31.400000000000002,8.056944444444444
Bengaluru,2012-05,33.25806451612903,22.096774193548388,27.25,59.28360215053763,45.7,11.508064516129032
Bengaluru,2012-06,30.733333333333334,20.433333333333334,24.956944444444446,67.175,45.2,18.531944444444445
Bengaluru,2012-07,29.0,20.032258064516128,24.204301075268816,69.08198924731182,41.1,17.74462365591398
Bengaluru,2012-08,28.516129032258064,19.677419354838708,23.557795698924732,74.17338709677419,50.3,16.293010752688172
Bengaluru,2012-09,29.266666666666666,19.233333333333334,23.643055555555556,73.8013888888889,70.3,12.594444444444445
Bengaluru,2012-10,27.903225806451612,18.193548387096776,22.302419354838708,76.50672043010752,42.2,10.471774193548388
Bengaluru,2012-11,27.366666666666667,16.366666666666667,21.022222222222222,70.96527777777777,32.0,10.1875
Bengaluru,2012-12,27.806451612903224,15.870967741935484,20.856182795698924,69.08736559139786,2.7,12.716397849462366
Bengaluru,2013-01,29.225806451612904,15.64516129032258,21.63037634408602,56.979838709677416,0.0,11.778225806451612
Bengaluru,2013-02,29.607142857142858,17.178571428571427,22.842261904761905,55.59672619047619,15.200000000000001,12.431547619047619
