id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score
ts77467,Terrace House: Opening New Doors,SHOW,2017,Not Availavle,39,"['reality', 'drama']",['JP'],7.8
ts83814,Undercover Law,SHOW,2018,Not Availavle,54,"['drama', 'action']",['CO'],7.2
tm439854,Baazaar,MOVIE,2018,Not Availavle,140,"['crime', 'drama', 'thriller']",['IN'],6.5
tm340587,Ittefaq,MOVIE,2017,PG,107,"['crime', 'thriller']",['IN'],7.2
ts68146,Myths & Monsters,SHOW,2017,TV-PG,43,"['documentation', 'fantasy', 'european']",['GB'],7.7
tm266705,Giant,MOVIE,2017,PG-13,114,"['drama', 'history', 'european']",['ES'],6.6
tm372891,Chris Rock: Tamborine,MOVIE,2018,Not Availavle,64,"['comedy', 'documentation']",['US'],6.6
ts78099,72 Dangerous Animals: Latin America,SHOW,2017,Not Availavle,43,['documentation'],"['AU', 'US']",6.6
tm315850,Take Me,MOVIE,2017,Not Availavle,83,"['comedy', 'crime', 'thriller']",['US'],6.1
tm421748,Ee Nagaraniki Emaindi,MOVIE,2018,Not Availavle,120,"['drama', 'comedy']",['IN'],7.9
tm353046,Patton Oswalt: Annihilation,MOVIE,2017,Not Availavle,66,"['comedy', 'documentation']",['US'],7.2
tm418039,LEGO Marvel Super Heroes: Black Panther - Trouble in Wakanda,MOVIE,2018,Not Availavle,22,"['fantasy', 'animation', 'action', 'comedy', 'scifi']",['US'],5.6
tm324588,Rory Scovel Tries Stand-Up for the First Time,MOVIE,2017,Not Availavle,66,"['comedy', 'documentation']",['US'],6.7
tm440678,Revenger,MOVIE,2018,NC-17,102,"['action', 'crime', 'thriller']",['KR'],5.7
tm995893,The Crossing,MOVIE,2017,Not Availavle,10,['documentation'],['PS'],7.5
tm275437,Coin Heist,MOVIE,2017,PG,97,"['family', 'crime', 'drama', 'romance', 'thriller']",['US'],4.7
ts89538,Bitter Daisies,SHOW,2018,Not Availavle,70,"['drama', 'thriller']",['ES'],7.2
ts89069,LEGO Friends: Girls on a Mission,SHOW,2018,TV-Y,11,['animation'],"['US', 'DK']",6.2
tm426983,Joy,MOVIE,2018,Not Availavle,99,"['drama', 'european']",['AT'],6.6
tm440278,Hakkunde,MOVIE,2017,Not Availavle,92,"['drama', 'comedy']",['NG'],6.4
tm307774,Jagga Jasoos,MOVIE,2017,PG,180,"['comedy', 'thriller', 'romance', 'action']",['IN'],6.3
ts78707,The Joel McHale Show with Joel McHale,SHOW,2018,TV-MA,25,['comedy'],['US'],7.1
tm299396,Getaway Plan,MOVIE,2017,Not Availavle,105,"['action', 'thriller', 'crime', 'drama', 'european']",['ES'],5.6
ts75676,The Velvet Collection,SHOW,2017,TV-14,57,"['comedy', 'drama', 'romance', 'european']",['ES'],7.2
tm366972,The Drug King,MOVIE,2018,Not Availavle,139,"['crime', 'action', 'drama']",['KR'],6.2
tm307751,Jab Harry Met Sejal,MOVIE,2017,PG,200,"['drama', 'romance', 'comedy']",['IN'],5.0
tm367008,Katt Williams: Great America,MOVIE,2018,Not Availavle,60,['comedy'],['US'],6.2
tm437631,Derren Brown: Sacrifice,MOVIE,2018,Not Availavle,49,"['documentation', 'reality']",['US'],7.1
ts80993,Kibaoh Klashers,SHOW,2017,TV-Y7,24,['scifi'],['CN'],6.4
tm445899,Struggle: The Life and Lost Art of Szukalski,MOVIE,2018,Not Availavle,104,"['documentation', 'european']","['PL', 'US']",7.9
tm236659,Sky Ladder: The Art of Cai Guo-Qiang,MOVIE,2017,Not Availavle,80,['documentation'],['US'],7.3
tm305112,The Fortress,MOVIE,2017,Not Availavle,140,"['drama', 'action', 'history', 'war', 'thriller']",['KR'],6.8
tm353247,Qarib Qarib Singlle,MOVIE,2017,Not Availavle,125,"['comedy', 'drama', 'romance']",['IN'],7.1
ts80057,Last Hope,SHOW,2018,TV-14,24,"['drama', 'animation', 'action', 'scifi']",['JP'],5.8
ts55936,My Secret Romance,SHOW,2017,TV-14,52,"['comedy', 'romance']",['KR'],7.1
tm477838,Disconnect,MOVIE,2018,Not Availavle,107,"['romance', 'comedy', 'scifi']",['KE'],5.3
tm375007,Feminists: What Were They Thinking?,MOVIE,2018,Not Availavle,86,['documentation'],['US'],6.9
tm233484,Duck Duck Goose,MOVIE,2018,PG,82,"['comedy', 'animation', 'family', 'action']",['CN'],5.7
tm355724,A Christmas Prince,MOVIE,2017,PG,92,"['romance', 'comedy', 'family']",['US'],5.7
tm496588,Azali,MOVIE,2018,Not Availavle,92,['drama'],['GH'],5.7
ts82085,Ainori Love Wagon: Asian Journey,SHOW,2017,Not Availavle,30,['reality'],['JP'],6.8
ts81886,All About the Washingtons,SHOW,2018,TV-G,25,"['comedy', 'music']",['US'],4.5
