Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated
MX,Aguascalientes,Centro,"21.883780555556, -102.295825",SO2,Sinaica Mexico,ppm,0.0,2024-02-21T18:30:00+05:30
MX,Aguascalientes,Centro,"21.883780555556, -102.295825",NO2,Sinaica Mexico,ppm,0.0221,2024-02-21T18:30:00+05:30
MX,Zapopan,Las Águilas,"20.631268055556, -103.41643083333",PM2.5,Sinaica Mexico,µg/m³,51.507,2024-02-24T10:30:00+05:30
MX,Mérida,SDS01,"20.973272222222, -89.624811111111",O3,Sinaica Mexico,ppm,0.0349363734,2024-02-22T09:30:00+05:30
MX,Irapuato,Sec. Oficial,"20.674836111111002, -101.35582777777998",NOX,Sinaica Mexico,ppm,0.02282,2023-06-14T07:30:00+05:30
MX,Irapuato,Bomberos,"21.118055555556, -101.60216666666999",NO,Sinaica Mexico,ppm,0.00878,2024-02-20T13:30:00+05:30
MX,Nueva Oxtotitlán,Oxtotitlán,"19.283444444444, -99.68348888888899",NO2,Sinaica Mexico,ppm,0.033,2024-02-20T10:30:00+05:30
MX,Apizaco,Centro de Salud,"19.409853333333, -98.150011111111",NO,Sinaica Mexico,ppm,0.0017778794679427,2023-12-16T00:30:00+05:30
MX,Pachuca de Soto,Jardín del Maestro,"20.120555555556, -98.74",PM2.5,Sinaica Mexico,µg/m³,23.0,2023-11-21T21:30:00+05:30
MX,San Luis Potosí,Escuela Primaria 1° de mayo,"22.159444444444, -100.95333333333",SO2,Sinaica Mexico,ppm,0.0039373,2023-10-05T00:30:00+05:30
MX,Tuxtla Gutiérrez,Palacio Municipal,"16.753166666667, -93.114944444444",SO2,Sinaica Mexico,ppm,0.0010947700870782,2023-10-07T08:30:00+05:30
MX,Ecatepec de Morelos,San Agustín,"19.533055555556, -99.030555555556",CO,Sinaica Mexico,ppm,1.1,2023-09-27T20:30:00+05:30
MX,Nezahualcóyotl,FES Aragón,"19.473691944444, -99.046175833333",SO2,Sinaica Mexico,ppm,0.003,2023-09-27T20:30:00+05:30
MX,Naucalpan de Juárez,FES Acatlán,"19.482499999999998, -99.24361111111101",O3,Sinaica Mexico,ppm,0.019,2023-09-27T20:30:00+05:30
MX,Chalco,Chalco,"19.267222222222, -98.886111111111",NOX,Sinaica Mexico,ppm,0.087,2023-09-27T20:30:00+05:30
MX,Tlalpan,Ajusco Medio,"19.272222222222, -99.207777777778",NO,Sinaica Mexico,ppm,0.004,2023-09-26T21:30:00+05:30
MX,DISTRITO FEDERAL,Pedregal,"19.325099999999996, -99.2041",O3,AirNow,ppm,0.026,2023-08-30T16:30:00+05:30
MX,MEXICO STATE,San Agust�n,"19.5329, -99.0303",O3,AirNow,ppm,0.021,2023-08-30T16:30:00+05:30
MX,MEXICO STATE,Acolman,"19.6355, -98.912",PM10,AirNow,µg/m³,20.0,2023-08-30T16:30:00+05:30
MX,DISTRITO FEDERAL,Cuajimalpa,"19.3653, -99.2917",O3,AirNow,ppm,0.018,2023-08-30T16:30:00+05:30
MX,DISTRITO FEDERAL,Santiago Acahualtepe,"19.3502, -99.1571",NO2,AirNow,ppm,0.023,2023-08-14T20:30:00+05:30
MX,DISTRITO FEDERAL,Santiago Acahualtepe,"19.3502, -99.1571",SO2,AirNow,ppm,0.001,2023-08-14T20:30:00+05:30
NL,Zegveld,Zegveld-Oude Meije,"52.138, 4.83819",CO,Netherlands,µg/m³,-995.0,2021-04-21T02:30:00+05:30
NL,Zegveld,Zegveld-Oude Meije,"52.138, 4.83819",NO2,Netherlands,µg/m³,-995.0,2024-03-20T21:30:00+05:30
NL,Haarlem,Haarlem-Schipholweg,"52.3705, 4.64232",PM10,Netherlands,µg/m³,14.67,2024-03-20T21:30:00+05:30
NL,Wijk aan Zee,Wijk aan Zee-Burgemeester Rothestraat,"52.494, 4.60199",CO,Netherlands,µg/m³,0.2704,2024-03-20T21:30:00+05:30
NL,Wijk aan Zee,Wijk aan Zee-Burgemeester Rothestraat,"52.494, 4.60199",SO2,Netherlands,µg/m³,2.3,2024-03-20T21:30:00+05:30
NL,Amsterdam,Amsterdam-Westerpark,"52.394, 4.87016",SO2,Netherlands,µg/m³,1.2,2024-03-20T21:30:00+05:30
NL,Amsterdam,Amsterdam-Hoogtij,"52.428, 4.77348",PM2.5,Netherlands,µg/m³,6.1,2024-03-20T21:30:00+05:30
NL,Nijmegen,Nijmegen-Ruyterstraat,"51.8382, 5.856939999999999",NO2,Netherlands,µg/m³,-995.0,2024-03-20T21:30:00+05:30
